Gutter	Multiplikator					10 år	11 år	12 år	13 år	14 år	15 år	16 år	17 år	18 år	19 år
40 m	3,5					6.6	6.4								
60 m	2,7					9.2	8.8	8.4	8	7.75	7.55	7.4	7.3	7.25	7.2
80 m	2,2					12.15	11.55	10.9	10.4	10.05	9.8	9.6	9.45	9.35	9.3
100 m	1,7							13.5	12.8	12.35	11.95	11.7	11.5	11.35	11.25
200 m	0,85						29.2	27.6	26	24.8	24	23.5	23	22.65	22.5
300 m	0,6							45	42	40	38.6	37.6	36.85	36.45	36.15
400 m	0,4									56.5	54.3	52.5	51.5	51	50.4
600 m	2,6					01:52.0	01:45.0	01:39.0	01:34.5	01:31.0	01:28.5	01:26.0	01:24.0	01:23.0	01:22.0
800 m	1,8									02:09.0	02:04.0	02:00.0	01:57.5	01:55.5	01:54.0
1000 m	1,1									02:49.0	02:44.0	02:39.0	02:36.0	02:33.0	02:30.0
1500 m	0,7							04:54.0	04:38.0	04:28.0	04:20.0	04:12.0	04:06.0	04:02.0	04:00.0
2000 m	0,45									06:20.0	06:05.0	05:55.0	05:46.0	05:41.0	05:38.0
3000 m	0,27											09:12.0	09:00.0	08:50.0	08:43.0
5000 m	0,15												15:50.0	15:30.0	15:10.0
10000 m	0,06													33:00.0	32:30.0
1000m	Kappgang				0,7		05:20.0	05:00.0	04:42.0	04:31.0	04:22.0	04:14.0	04:06.0	04:02.0	04:00.0
2000m	Kappgang				0,3				09:54.0	09:30.0	09:08.0	08:51.0	08:38.0	08:30.0	08:25.0
3000m	Kappgang				0,18				15:24.0	14:52.0	14:14.0	13:50.0	13:30.0	13:16.0	13:08.0
5000m	Kappgang				0,11					26:40.0	25:00.0	24:00.0	23:15.0	22:45.0	22:30.0
10000m	Kappgang				0,05						53:00.0	51:00.0	49:20.0	48:10.0	47:30.0
20000m	Kappgang				0,02									1:40.00.0	1:38.00.0
60 mH	68,0cm	6,5m			2,0	11.3	10.5								
60 mH	76,2cm	7m			2,0			10.2							
60 mH	76,2cm	7,5m			2,0				9.8						
80 mH	84,0cm	8m			1,4					12.05					
100 mH	84,0cm	8,5m			1,1						14				
100 mH	91,4cm	8,5m			1,1							14.5			
110 mH 	91,4cm	9,14m			1,0								15.3		
110 mH	100,0cm	9,14m			1,0								15.8	15.3	15
110 mH	106,7cm	9,14m			1,0									15.7	15.4
200 mH	68,0cm	18,29m			0,6		34.8	32.8	31.2						
200 mH	76,2cm	18,29m			0,6					29.2	28.4	27.6	27	26.5	26
300 mH	76,2cm	35m			0,46					44.7	43				
300 mH	84,0cm	35m			0,46							41.8	41		
300 mH	91,4cm	35m			0,46									40.5	40
400 mH	84,0cm	35m			0,34								57		
400 mH	91,4cm	35m			0,34									56	55.5
1500 mH	76,2cm	0,55								05:00.0	4.48.00	04:40.0			
2000 mH	91,4cm	0,41											06:25.0	06:15.0	06:10.0
3000 mH	91,4cm	0,27											10:10.0	09:55.0	09:45.0
Høyde	7					1.25	1.38	1.5	1.61	1.72	1.8	1.88	1.93	1.96	1.99
Høyde u.t.	8,5					1	1.1	1.2	1.29	1.37	1.44	1.5	1.55	1.59	1.61
Stav	Over 1000p			1,7	1000p	2	2.3	2.6	2.9	3.2	3.5	3.8	4.05	4.3	4.5
	1000p-80%			3,5	80%	1.6	1.84	2.08	2.32	2.56	2.8	3.04	3.24	3.44	3.6
	Under 80%			7	Poeng	860	839	818	797	776	755	734	716	699	685
Lengde	2					4.15	4.55	4.95	5.35	5.75	6.15	6.4	6.6	6.8	6.95
Lengde u.t.	5					2.1	2.28	2.45	2.6	2.75	2.88	2.98	3.05	3.1	3.15
Tresteg	1					8.2	9.2	10.1	11.1	12	12.8	13.3	13.7	14	14.3
Kule	Over 1000p			0,3	1000p									14.6	15.2
6 kg	1000p-80%			0,6	80%									11.68	12.16
	Under 80%			1,2	Poeng									824	817
Kule	Over 1000p			0,3	1000p							14.6	15.8		
5 kg	1000p-80%			0,6	80%							11.68	12.64		
	Under 80%			1,2	Poeng							824	810		
Kule	Over 1000p			0,3	1000p					13.3	15.3				
4 kg	1000p-80%			0,6	80%					10.64	12.24				
	Under 80%			1,2	Poeng					840	816				
Kule	Over 1000p			0,3	1000p			11.3	13.5						
3 kg	1000p-80%			0,6	80%			9.04	10.8						
	Under 80%			1,2	Poeng			864	838						
Kule	Over 1000p			0,3	1000p	8.5	10.5								
2 kg	1000p-80%			0,6	80%	6.8	8.4								
	Under 80%			1,2	Poeng	898	874								
Diskos	Over 1000p			0,13	1000p									46	48
1,75 kg	1000p-80%			0,25	80%									36.8	38.4
	Under 80%			0,5	Poeng									770	760
Diskos	Over 1000p			0,13	1000p							45	48		
1,5 kg	1000p-80%			0,25	80%							36	38.4		
	Under 80%			0,5	Poeng							775	760		
Diskos	Over 1000p			0,13	1000p					44	51				
1 kg	1000p-80%			0,25	80%					35.2	40.8				
	Under 80%			0,5	Poeng					780	745				
Diskos	Over 1000p			0,13	1000p			32	40						
0,75 kg	1000p-80%			0,25	80%			25.6	32						
	Under 80%			0,5	Poeng			840	800						
Diskos	Over 1000p			0,13	1000p	22	28								
0,6 kg	1000p-80%			0,25	80%	17.6	22.4								
	Under 80%			0,5	Poeng	890	860								
Slegge	Over 1000p			0,1	1000p									56	62
6 kg	1000p-80%			0,2	80%									44.8	49.6
121,5 cm	Under 80%			0,4	Poeng									776	752
Slegge	Over 1000p			0,1	1000p							52	59		
5 kg	1000p-80%			0,2	80%							41.6	47.2		
120 cm	Under 80%			0,4	Poeng							792	764		
Slegge	Over 1000p			0,1	1000p					41	50				
4 kg	1000p-80%			0,2	80%					32.8	40				
119,5 cm	Under 80%			0,4	Poeng					836	800				
Slegge	Over 1000p			0,1	1000p				37						
3 kg	1000p-80%			0,2	80%				29.6						
119,5 cm	Under 80%			0,4	Poeng				852						
Slegge	Over 1000p			0,1	1000p	22	30	38							
2 kg	1000p-80%			0,2	80%	17.6	24	30,40							
110 cm	Under 80%			0,4	Poeng	912	880	848							
Spyd	Over 1000p			0,1	1000p									59	62
800 g	1000p-80%			0,2	80%									47.2	49.6
	Under 80%			0,4	Poeng									764	752
Spyd	Over 1000p			0,1	1000p							55	60		
700 g	1000p-80%			0,2	80%							44	48		
	Under 80%			0,4	Poeng							780	760		
Spyd	Over 1000p			0,1	1000p					46	52				
600 g	1000p-80%			0,2	80%					36.8	41.6				
	Under 80%			0,4	Poeng					816	792				
Spyd	Over 1000p			0,1	1000p	25	32	38	45						
400 g	1000p-80%			0,2	80%	20	25.6	30.4	36						
	Under 80%			0,4	Poeng	900	872	848	820						
Liten ball	Over 1000p			0,08	1000p	48	55	63	70	80					
150 g	1000p-80%			0,15	80%	38.4	44	50.4	56	64					
	Under 80%			0,3	Poeng	856	835	811	790	760					
Slengball	Over 1000p			0,08	1000p	24	30	36							
1 kg	1000p-80%			0,15	80%	19.2	24	28.8							
Kort reim	Under 80%			0,3	Poeng	928	910	892							
